Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
B12,1,1,0,0,1,7,6991.95647321429,631.580329612166,1817.2459891183,213.742147274737,166.480576651437,39.0363494608412,78.7649496623448,50.2727959988511,151.14382989066,156.470249671508,2974.32678222656,1112.24425956125,15,
B12,1,0,1,0,1,3,6355.21419270833,396.687306355634,604.672566731771,103.875908465803,905.103393554688,157.265251574272,184.106590270996,157.29588255671,284.636647542318,24.3716888840072,2017.83138020833,241.487885754819,16,
B12,1,1,1,0,1,6,6706.66373697917,710.600593446684,1684.98347981771,191.117392911266,839.867116292318,212.8806922494,115.791074752808,50.301455957528,632.323003133138,535.620669910293,1867.86393229167,831.649721219616,17,
B12,0,0,0,1,1,2,789.649353027344,3.51455893671541,485.735824584961,50.9388995995292,109.172622680664,53.7080702783178,23.2756590843201,22.0181266458558,4608.7138671875,473.868576159717,1194.5234375,105.104275996832,18,
B12,1,0,0,1,1,1,7282.83642578125,0,554.083557128906,0,89.484016418457,0,135.563583374023,0,4758.00927734375,0,2840.61572265625,0,19,
B12,1,1,0,1,1,3,6270.99186197917,713.069056944004,1569.83142089844,15.8053101512657,206.025950113932,41.9978071388527,143.714116414388,32.7107057531468,3879.76472981771,188.04520866127,1575.37854003906,511.920139811499,20,
B12,0,0,1,1,1,2,812.821899414063,37.0392061354244,518.853668212891,26.0156513772794,856.241455078125,394.618237117001,63.2982635498047,63.2778460357565,4719.82312011719,891.648013030408,1008.87368774414,4.4613241624777,21,
B12,1,0,1,1,1,72,6764.36977132161,544.803245707175,547.057603624132,96.3251244930493,674.351381089952,129.348019521644,85.1763259636031,48.3876245673969,4108.96602376302,432.328032470675,2154.0426135593,556.252165054294,22,
B12,1,1,1,1,1,153,6524.22421364379,642.06779105095,1619.5668530433,151.912315955171,583.345085592831,138.106233506151,93.7107569454542,57.1072204411831,3610.78300685509,443.312581839246,1745.03856584138,459.074899722788,23,
C11,0,0,0,0,0,11561,769.455826036638,50.336164295825,1041.81259493419,92.5579658400944,82.4429339758099,20.3257715852535,45.6250361251247,31.6384598065168,400.110721831977,74.8484645545131,359.170862232687,49.6419415977841,1,
C11,1,0,0,0,0,21,7491.84188988095,320.225528949793,1086.481082008,106.480950762483,80.297009059361,20.7843239298974,40.3317657836846,25.8302159942196,398.918475923084,43.0730742616322,342.33095296224,54.111201982823,2,
C11,0,1,0,0,0,112,970.740800040109,60.7547600903651,5233.04367501395,419.655670151073,77.3842245851244,18.3871840613031,41.7982784566869,30.8207238718922,364.911601475307,43.8465803314017,355.532789502825,51.5307987140735,3,
C11,1,1,0,0,0,1,7509.8427734375,0,4950.720703125,0,115.980102539063,0,20.4267101287842,0,576.386901855469,0,318.893890380859,0,4,
C11,0,0,1,0,0,12,759.245025634766,76.589623933189,1015.27540079753,84.6802302233202,537.253756205241,155.006527155249,30.8518442213535,44.8442951626942,383.714032491048,42.813093730328,348.690958658854,47.7967427807733,5,
